Order_ID,Product_ID,Quantity,Discount,Sales,Profit
ORD000001,PROD0006,3,0.1,5940.0,2340.0
ORD000002,PROD0026,1,0.1,4950.0,1750.0
ORD000003,PROD0001,1,0.1,76500.0,8500.0
ORD000004,PROD0011,2,0.0,24000.0,9000.0
ORD000005,PROD0015,2,0.05,16150.0,6150.0
ORD000006,PROD0022,1,0.0,900.0,450.0
ORD000007,PROD0016,3,0.1,18900.0,6300.0
ORD000007,PROD0026,1,0.1,4950.0,1750.0
ORD000008,PROD0004,1,0.05,1140.0,490.0
ORD000008,PROD0012,1,0.0,18000.0,7000.0
ORD000009,PROD0016,1,0.15,5950.0,1750.0
ORD000009,PROD0003,1,0.0,105000.0,20000.0
ORD000009,PROD0024,2,0.05,7980.0,3580.0
ORD000010,PROD0003,1,0.2,84000.0,-1000.0
ORD000010,PROD0010,1,0.1,19800.0,3800.0
ORD000011,PROD0009,2,0.05,104500.0,20500.0
ORD000011,PROD0013,1,0.0,16000.0,6000.0
ORD000012,PROD0019,2,0.2,24000.0,3000.0
ORD000013,PROD0002,1,0.1,58500.0,7500.0
ORD000014,PROD0011,1,0.0,12000.0,4500.0
ORD000014,PROD0016,1,0.0,7000.0,2800.0
ORD000015,PROD0022,1,0.0,900.0,450.0
ORD000015,PROD0023,2,0.1,4500.0,1900.0
ORD000016,PROD0022,1,0.0,900.0,450.0
ORD000016,PROD0017,1,0.0,450.0,230.0
ORD000017,PROD0024,4,0.2,13440.0,4640.0
ORD000018,PROD0020,2,0.2,38400.0,4400.0
ORD000019,PROD0024,2,0.05,7980.0,3580.0
ORD000019,PROD0015,1,0.0,8500.0,3500.0
ORD000020,PROD0016,2,0.1,12600.0,4200.0
ORD000020,PROD0011,1,0.1,10800.0,3300.0
ORD000021,PROD0017,2,0.2,720.0,280.0
ORD000022,PROD0006,1,0.15,1870.0,670.0
ORD000022,PROD0005,2,0.15,7650.0,2250.0
ORD000023,PROD0022,3,0.2,2160.0,810.0
ORD000024,PROD0003,1,0.1,94500.0,9500.0
ORD000024,PROD0027,1,0.15,5525.0,1625.0
